Starting Elo evaluation gauntlet against lc0...

--- Testing against LC0 Nodes=1 ---
  Game 1: 0-1 (in 44 plies)
  Game 2: 0-1 (in 44 plies)
  Game 3: 0-1 (in 28 plies)
  Game 4: 0-1 (in 44 plies)
  Game 5: 0-1 (in 44 plies)
  Game 6: 0-1 (in 32 plies)
  Game 7: 0-1 (in 32 plies)
  Game 8: 0-1 (in 32 plies)
  Game 9: 0-1 (in 32 plies)
  Game 10: 0-1 (in 40 plies)
  Game 11: 0-1 (in 36 plies)
  Game 12: 0-1 (in 28 plies)
  Game 13: 0-1 (in 28 plies)
  Game 14: 0-1 (in 44 plies)
  Game 15: 1/2-1/2 (in 44 plies)
  Game 16: 0-1 (in 42 plies)
  Game 17: 0-1 (in 30 plies)
  Game 18: 0-1 (in 32 plies)
  Game 19: 0-1 (in 32 plies)
  Game 20: 0-1 (in 32 plies)
  Level Total: 0.5 / 20

--- Testing against LC0 Nodes=2 ---
  Game 1: 0-1 (in 32 plies)
  Game 2: 0-1 (in 32 plies)
  Game 3: 0-1 (in 32 plies)
  Game 4: 0-1 (in 30 plies)
  Game 5: 0-1 (in 30 plies)
  Game 6: 0-1 (in 30 plies)
  Game 7: 0-1 (in 30 plies)
  Game 8: 0-1 (in 30 plies)
  Game 9: 0-1 (in 30 plies)
  Game 10: 0-1 (in 30 plies)
  Game 11: 0-1 (in 30 plies)
  Game 12: 0-1 (in 30 plies)
  Game 13: 0-1 (in 30 plies)
  Game 14: 0-1 (in 30 plies)
  Game 15: 0-1 (in 30 plies)
  Game 16: 0-1 (in 30 plies)
  Game 17: 0-1 (in 30 plies)
  Game 18: 0-1 (in 30 plies)
  Game 19: 0-1 (in 30 plies)
  Game 20: 0-1 (in 30 plies)
  Level Total: 0.0 / 20

--- Testing against LC0 Nodes=4 ---
  Game 1: 0-1 (in 30 plies)
  Game 2: 0-1 (in 30 plies)
  Game 3: 0-1 (in 30 plies)
  Game 4: 0-1 (in 30 plies)
  Game 5: 0-1 (in 30 plies)
  Game 6: 0-1 (in 30 plies)
  Game 7: 0-1 (in 30 plies)
  Game 8: 0-1 (in 30 plies)
  Game 9: 0-1 (in 30 plies)
  Game 10: 0-1 (in 30 plies)
  Game 11: 0-1 (in 30 plies)
  Game 12: 0-1 (in 30 plies)
  Game 13: 0-1 (in 30 plies)
  Game 14: 0-1 (in 30 plies)
  Game 15: 0-1 (in 30 plies)
  Game 16: 0-1 (in 30 plies)
  Game 17: 0-1 (in 30 plies)
  Game 18: 0-1 (in 30 plies)
  Game 19: 0-1 (in 30 plies)
  Game 20: 0-1 (in 30 plies)
  Level Total: 0.0 / 20

--- Testing against LC0 Nodes=8 ---
  Game 1: 0-1 (in 30 plies)
  Game 2: 0-1 (in 30 plies)
  Game 3: 0-1 (in 30 plies)
  Game 4: 0-1 (in 30 plies)
  Game 5: 0-1 (in 30 plies)
  Game 6: 0-1 (in 30 plies)
  Game 7: 0-1 (in 30 plies)
  Game 8: 0-1 (in 30 plies)
  Game 9: 0-1 (in 30 plies)
  Game 10: 0-1 (in 30 plies)
  Game 11: 0-1 (in 30 plies)
  Game 12: 0-1 (in 30 plies)
  Game 13: 0-1 (in 30 plies)
  Game 14: 0-1 (in 30 plies)
  Game 15: 0-1 (in 30 plies)
  Game 16: 0-1 (in 30 plies)
  Game 17: 0-1 (in 30 plies)
  Game 18: 0-1 (in 30 plies)
  Game 19: 0-1 (in 30 plies)
  Game 20: 0-1 (in 30 plies)
  Level Total: 0.0 / 20

--- Testing against LC0 Nodes=16 ---
  Game 1: 0-1 (in 36 plies)
  Game 2: 0-1 (in 36 plies)
  Game 3: 0-1 (in 36 plies)
  Game 4: 0-1 (in 30 plies)
  Game 5: 0-1 (in 36 plies)
  Game 6: 0-1 (in 36 plies)
  Game 7: 0-1 (in 36 plies)
  Game 8: 0-1 (in 36 plies)
  Game 9: 0-1 (in 30 plies)
  Game 10: 0-1 (in 30 plies)
  Game 11: 0-1 (in 30 plies)
  Game 12: 0-1 (in 30 plies)
  Game 13: 0-1 (in 30 plies)
  Game 14: 0-1 (in 30 plies)
  Game 15: 0-1 (in 30 plies)
  Game 16: 0-1 (in 30 plies)
  Game 17: 0-1 (in 30 plies)
  Game 18: 0-1 (in 30 plies)
  Game 19: 0-1 (in 30 plies)
  Game 20: 0-1 (in 30 plies)
  Level Total: 0.0 / 20

=== Final Summary ===
LC0 Nodes=1: 0.5/20 (Win Rate: 2.5%)
LC0 Nodes=2: 0.0/20 (Win Rate: 0.0%)
LC0 Nodes=4: 0.0/20 (Win Rate: 0.0%)
LC0 Nodes=8: 0.0/20 (Win Rate: 0.0%)
LC0 Nodes=16: 0.0/20 (Win Rate: 0.0%)

To calculate BayesElo, feed these results into a standard BayesElo calculator.
Example reference: LC0 Nodes=1 is ~800, Nodes=2 is ~950, Nodes=5 is ~1100.
